exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
NMVOC - non combustion - Extraction/production of crude oil - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Fat, edible and non-edible oil extraction - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Flexography and rotogravure in packaging - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Gasoline distribution - service stations - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Industrial paint application, general industry - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air",kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Leather coating - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
